SampleID,T2.start,T2.end,T3.start,T3.end,T4.start,T4.end,ID.plate
1328v1xE,5/27/18,5/30/18,5/31/18,6/4/18,6/6/18,6/8/18,1328v1xE hi1a
1322v10xF,5/25/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,1322v10xF hi1a
42s103xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s103xF hi1a
4242v103xF,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4242v103xF hi1a
1328v102xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v102xA hi1a
1313v1xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v1xA hi1a
4242102xF,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4242102xF hi1a
4228v103xE,5/25/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,4228v103xE hi1a
13s103xF,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xF hi1a
1322v10xD,5/28/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v10xD hi1a
42s103xE,5/25/18,5/27/18,5/31/18,6/2/18,6/5/18,6/7/18,42s103xE hi1a
1313v1xAb,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1313v1xAb hi1a
4242v1xF,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xF hi1a
13s1xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,13s1xF hi1a
1313v10xC,5/27/18,5/29/18,5/31/18,6/4/18,6/6/18,6/8/18,1313v10xC hi1a
1328v1xC,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,1328v1xC hi1a
42s1xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s1xF hi1a
1322v1xF,5/28/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v1xF hi1a
1328v1xA,5/25/18,5/29/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v1xA hi1a
4222v103xF,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v103xF hi1a
4242102xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242102xB hi1a
4228v103xA,5/26/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v103xA hi1a
13s10xF,5/25/18,5/29/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xF hi1a
1322v10xC,5/25/18,5/28/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xC hi1a
1328v1xE,5/27/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,1328v1xE hi1b
1322v10xF,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xF hi1b
42s103xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s103xF hi1b
4242v103xF,5/28/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,4242v103xF hi1b
1328v102xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v102xA hi1b
1313v1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1313v1xA hi1b
4242102xF,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4242102xF hi1b
4228v103xE,5/25/18,5/30/18,5/31/18,6/2/18,6/5/18,6/6/18,4228v103xE hi1b
13s103xF,5/25/18,5/29/18,5/30/18,6/2/18,6/6/18,6/8/18,13s103xF hi1b
1322v10xD,5/28/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v10xD hi1b
42s103xE,5/25/18,5/27/18,5/31/18,6/2/18,6/5/18,6/6/18,42s103xE hi1b
1313v1xAb,5/27/18,5/29/18,5/31/18,6/2/18,6/5/18,6/8/18,1313v1xAb hi1b
4242v1xF,5/27/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4242v1xF hi1b
13s1xF,5/25/18,5/29/18,5/31/18,6/2/18,6/5/18,6/7/18,13s1xF hi1b
1313v10xC,5/27/18,5/29/18,5/31/18,6/2/18,6/6/18,6/8/18,1313v10xC hi1b
1328v1xC,5/25/18,5/29/18,5/31/18,6/2/18,6/6/18,6/8/18,1328v1xC hi1b
42s1xF,5/25/18,5/28/18,5/31/18,6/1/18,6/5/18,6/7/18,42s1xF hi1b
1322v1xF,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v1xF hi1b
1328v1xA,5/25/18,5/29/18,5/31/18,6/2/18,6/5/18,6/8/18,1328v1xA hi1b
4222v103xF,5/28/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,4222v103xF hi1b
4242102xB,5/27/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,4242102xB hi1b
4228v103xA,5/25/18,5/29/18,5/31/18,6/2/18,6/5/18,6/7/18,4228v103xA hi1b
13s10xF,5/25/18,5/31/18,5/31/18,6/2/18,6/5/18,6/7/18,13s10xF hi1b
1322v10xC,5/25/18,5/31/18,5/31/18,6/2/18,6/5/18,6/7/18,1322v10xC hi1b
4242v102xA,5/25/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,4242v102xA hi2a
4228v1xF,5/29/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v1xF hi2a
1322v103xF,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v103xF hi2a
42s102xF,5/25/18,5/28/18,5/31/18,6/2/18,6/5/18,6/7/18,42s102xF hi2a
1313v1xA,5/28/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,1313v1xA hi2a
42s10xF,5/25/18,5/27/18,5/31/18,6/4/18,6/6/18,6/8/18,42s10xF hi2a
1328v1xF,5/29/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v1xF hi2a
1313v1xD,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1313v1xD hi2a
4242v103xE,5/29/18,5/31/18,5/31/18,6/4/18,6/5/18,6/7/18,4242v103xE hi2a
4228v10xF,5/28/18,5/30/18,5/30/13,6/2/18,6/5/18,6/7/18,4228v10xF hi2a
4222v102xF,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/7/18,4222v102xF hi2a
13s102xF,5/27/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,13s102xF hi2a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi2a
1322v10xA,5/25/18,5/29/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xA hi2a
42421xE,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,42421xE hi2a
1322102xF,5/25/18,5/30/18,5/31/18,6/4/18,6/6/18,6/8/18,1322102xF hi2a
42s102xE,5/25/18,5/27/18,5/30/18,5/31/18,6/5/18,6/6/18,42s102xE hi2a
1313v102xB,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1313v102xB hi2a
42s1xA,5/25/18,5/27/18,5/31/18,6/2/18,6/5/18,6/7/18,42s1xA hi2a
13s102xE,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,13s102xE hi2a
4228v102xE,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/7/18,4228v102xE hi2a
4222v1xE,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4222v1xE hi2a
424210xB,5/28/18,5/31/18,5/31/18,6/2/18,6/5/18,6/7/18,424210xB hi2a
1322v103xE,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/7/18,1322v103xE hi2a
4242v102xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4242v102xA hi2b
4228v1xF,5/29/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4228v1xF hi2b
1322v103xF,5/29/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v103xF hi2b
42s102xF,5/25/18,5/28/18,5/31/18,6/4/18,6/5/18,6/8/18,42s102xF hi2b
1313v1xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1313v1xA hi2b
42s10xF,5/25/18,5/27/18,5/31/18,6/4/18,6/5/18,6/8/18,42s10xF hi2b
1328v1xF,5/27/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v1xF hi2b
1313v1xD,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v1xD hi2b
4242v103xE,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v103xE hi2b
4228v10xF,5/29/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4228v10xF hi2b
4222v102xF,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v102xF hi2b
13s102xF,5/29/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,13s102xF hi2b
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi2b
1322v10xA,5/25/18,5/29/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xA hi2b
42421xE,5/28/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,42421xE hi2b
1322102xF,5/28/18,5/30/18,6/2/18,6/4/18,6/5/18,6/8/18,1322102xF hi2b
42s102xE,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/6/18,42s102xE hi2b
1313v102xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v102xB hi2b
42s1xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/7/18,42s1xA hi2b
13s102xE,5/28/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,13s102xE hi2b
4228v102xE,5/27/18,5/30/18,5/30/18,6/4/18,6/5/18,6/7/18,4228v102xE hi2b
4222v1xE,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v1xE hi2b
424210xB,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/28,424210xB hi2b
1322v103xE,5/28/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,1322v103xE hi2b
1322v102xE,5/27/18,5/29/18,5/30/18,6/4/18,6/5/18,6/7/18,1322v102xE hi3a
42s10xE,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,42s10xE hi3a
42s1xE,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,42s1xE hi3a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi3a
1328v1xA,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1328v1xA hi3a
1313v10xD,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v10xD hi3a
4222v10xE,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v10xE hi3a
13103xE,5/29/18,5/31/18,5/31/18,6/4/18,6/5/18,6/7/18,13103xE hi3a
4228v10xE,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4228v10xE hi3a
42s1xD,5/25/18,5/28/18,5/30/18,6/2/18,6/5/18,6/8/18,42s1xD hi3a
1322v1xA,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v1xA hi3a
4222v102xE,5/25/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,4222v102xE hi3a
4242v1xD,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4242v1xD hi3a
4228v1xE,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v1xE hi3a
13s10xE,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xE hi3a
13s1xE,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,13s1xE hi3a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi3a
1322v103xD,5/28/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v103xD hi3a
42s103xD,5/25/18,5/28/18,5/30/18,6/2/18,6/5/18,6/8/18,42s103xD hi3a
1322v102xD,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v102xD hi3a
1328v1xF,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/7/18,1328v1xF hi3a
42s102xD,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s102xD hi3a
1322v1xD,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v1xD hi3a
42s10xD,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s10xD hi3a
1322v102xE,5/27/18,5/29/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v102xE hi3b
42s10xE,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s10xE hi3b
42s1xE,5/25/18,5/27/18,5/31/18,6/4/18,6/5/18,6/8/18,42s1xE hi3b
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi3b
1328v1xA,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1328v1xA hi3b
1313v10xD,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v10xD hi3b
4222v10xE,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v10xE hi3b
13103xE,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,13103xE hi3b
4228v10xE,5/25/18,5/31/18,5/31/18,6/2/18,6/5/18,6/7/18,4228v10xE hi3b
42s1xD,5/25/18,5/28/18,5/30/18,6/4/18,6/5/18,6/7/18,42s1xD hi3b
1322v1xA,5/28/18,5/30/18,5/30/18,6/4/18,6/5/18,6/7/18,1322v1xA hi3b
4222v102xE,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/7/18,4222v102xE hi3b
4242v1xD,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,4242v1xD hi3b
4228v1xE,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,4228v1xE hi3b
13s10xE,5/25/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,13s10xE hi3b
13s1xE,5/25/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,13s1xE hi3b
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi3b
1322v103xD,5/25/18,5/30/18,5/30/18,6/2/18,6/6/18,6/7/18,1322v103xD hi3b
42s103xD,5/25/18,5/29/18,5/30/18,5/31/18,6/6/18,6/8/18,42s103xD hi3b
1322v102xD,5/27/18,5/29/18,5/31/18,6/4/18,6/6/18,6/8/18,1322v102xD hi3b
1328v1xF,5/27/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1328v1xF hi3b
42s102xD,5/28/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,42s102xD hi3b
1322v1xD,5/27/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v1xD hi3b
