SampleID,T2.start,T2.end,T3.start,T3.end,T4.start,T4.end,ID.plate
42s10xD,5/25/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,42s10xD hi3b
4228v102xD,5/28/18,5/30/18,5/30/18,6/4/18,6/6/18,6/8/18,4228v102xD hi4a
13s1xD,5/28/18,5/30/18,5/31/18,6/4/18,6/6/18,6/8/18,13s1xD hi4a
42s102xC,5/25/18,5/28/18,5/31/18,6/4/18,6/5/18,6/8/18,42s102xC hi4a
blank,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi4a
4222v10xD,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v10xD hi4a
4242v103xC,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4242v103xC hi4a
4242v1xC,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xC hi4a
4228v10xC,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/6/18,4228v10xC hi4a
4228v1xD,5/28/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,4228v1xD hi4a
13131xD,5/25/18,5/31/18,5/30/18,6/4/18,6/7/18,6/8/18,13131xD hi4a
1322v103xC,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v103xC hi4a
42s103xC,5/25/18,5/28/18,5/30/18,5/31/18,6/5/18,6/8/18,42s103xC hi4a
4222v103xD,5/25/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4222v103xD hi4a
13s103xD,5/27/18,5/29/18,5/31/18,6/2/18,6/5/18,6/7/18,13s103xD hi4a
1313v102xA,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v102xA hi4a
1322v10xB,5/27/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xB hi4a
42s103xB,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,42s103xB hi4a
4228v10xCb,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/7/18,4228v10xCb hi4a
13s102xD,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,13s102xD hi4a
13s10xD,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xD hi4a
42s1xC,5/25/18,5/28/18,5/30/18,6/2/18,6/5/18,6/7/18,42s1xC hi4a
1322v102xC,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/7/18,1322v102xC hi4a
4228v1xC,5/28/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,4228v1xC hi4a
13s1xC,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/7/18,13s1xC hi4a
4228v102xD,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4228v102xD hi4b
13s1xD,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/7/18,13s1xD hi4b
42s102xC,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s102xC hi4b
blank,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi4b
4222v10xD,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v10xD hi4b
4242v103xC,5/28/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4242v103xC hi4b
4242v1xC,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xC hi4b
4228v10xC,5/25/18,5/28/18,5/30/18,6/2/18,6/5/18,6/7/18,4228v10xC hi4b
4228v1xD,5/27/18,5/29/18,5/30/18,6/2/18,6/6/18,6/8/18,4228v1xD hi4b
13131xD,5/25/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,13131xD hi4b
1322v103xC,5/27/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v103xC hi4b
42s103xC,5/25/18,5/27/18,5/30/18,5/31/18,6/6/18,6/8/18,42s103xC hi4b
4222v103xD,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/7/18,4222v103xD hi4b
13s103xD,5/25/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,13s103xD hi4b
1313v102xA,5/25/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,1313v102xA hi4b
1322v10xB,5/28/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,1322v10xB hi4b
42s103xB,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,42s103xB hi4b
4228v10xCb,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v10xCb hi4b
13s102xD,5/25/18,5/29/18,5/31/18,6/2/18,6/6/18,6/8/18,13s102xD hi4b
13s10xD,5/28/18,5/30/18,5/31/18,6/4/18,6/6/18,6/8/18,13s10xD hi4b
42s1xC,5/25/18,5/27/18,5/31/18,6/2/18,6/6/18,6/8/18,42s1xC hi4b
1322v102xC,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v102xC hi4b
4228v1xC,5/27/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v1xC hi4b
13s1xC,5/25/18,5/28/18,5/30/18,6/2/18,6/5/18,6/8/18,13s1xC hi4b
1322v103xB,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/7/18,1322v103xB hi5a
1313v102xB,5/25/18,5/29/18,5/31/18,6/4/18,6/5/18,6/8/18,1313v102xB hi5a
4242v1xB,5/25/18,5/29/18,5/30/18,6/2/18,6/6/18,6/8/18,4242v1xB hi5a
4222v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v103xC hi5a
1313v102xA,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1313v102xA hi5a
4222v102xC,5/25/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,4222v102xC hi5a
4222v10xC,5/25/18,5/28/18,5/30/18,6/2/18,6/6/18,6/8/18,4222v10xC hi5a
4242v1xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,4242v1xA hi5a
1328v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v103xC hi5a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi5a
1322v103xA,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v103xA hi5a
4242v103xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v103xB hi5a
1322v1xC,5/25/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v1xC hi5a
13s103xC,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xC hi5a
4222v1xB,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v1xB hi5a
13s10xC,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xC hi5a
13s1xA,5/25/18,5/28/18,5/30/18,6/2/18,6/6/18,6/8/18,13s1xA hi5a
1322v102xB,5/28/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v102xB hi5a
4228v102xB,5/27/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v102xB hi5a
13s103xCb,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xCb hi5a
42s1xB,5/25/18,5/27/18,5/30/18,5/31/18,6/5/18,6/7/18,42s1xB hi5a
1322v1xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v1xB hi5a
13s103xB,5/28/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,13s103xB hi5a
4228v10xB,5/27/18,5/29/18,5/30/18,6/2/18,6/5/18,6/7/18,4228v10xB hi5a
1322v103xB,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v103xB hi5b
1313v102xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v102xB hi5b
4242v1xB,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xB hi5b
4222v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,4222v103xC hi5b
1313v102xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v102xA hi5b
4222v102xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v102xC hi5b
4222v10xC,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v10xC hi5b
4242v1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,4242v1xA hi5b
1328v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v103xC hi5b
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi5b
1322v103xA,5/25/18,5/31/18,5/31/18,6/2/18,6/5/18,6/7/18,1322v103xA hi5b
4242v103xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v103xB hi5b
1322v1xC,5/28/18,5/30/18,5/31/18,6/4/18,6/6/18,6/8/18,1322v1xC hi5b
13s103xC,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,13s103xC hi5b
4222v1xB,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v1xB hi5b
13s10xC,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xC hi5b
13s1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/6/18,13s1xA hi5b
1322v102xB,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v102xB hi5b
4228v102xB,5/27/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4228v102xB hi5b
13s103xCb,5/28/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,13s103xCb hi5b
42s1xB,5/25/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,42s1xB hi5b
1322v1xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v1xB hi5b
13s103xB,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,13s103xB hi5b
4228v10xB,5/25/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4228v10xB hi5b
4228v1xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v1xB hi6a
1322v102xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v102xA hi6a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi6a
42s102xA,5/25/18,5/27/18,5/30/18,5/31/18,6/5/18,6/8/18,42s102xA hi6a
4228v102xA,5/27/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v102xA hi6a
42s10xA,5/25/18,5/28/18,5/30/18,6/2/18,6/5/18,6/8/18,42s10xA hi6a
42s102xB,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s102xB hi6a
4242v1xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4242v1xA hi6a
42s103xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s103xA hi6a
1328v1xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v1xA hi6a
4228v1xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v1xA hi6a
42s10xB,5/27/18,5/30/18,5/30/18,5/31/18,6/5/18,6/8/18,42s10xB hi6a
4228v10xA,5/27/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,4228v10xA hi6a
4222v10xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v10xA hi6a
42s10xC,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s10xC hi6a
4222v103xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/7/18,4222v103xB hi6a
13s102xA,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,13s102xA hi6a
13s10xB,5/25/18,5/29/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xB hi6a
1328v103xCb,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/7/18,1328v103xCb hi6a
13s102xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/7/18,13s102xB hi6a
13s10xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xA hi6a
1322v1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,1322v1xA hi6a
13s103xA,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/7/18,13s103xA hi6a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi6a
4228v1xB,5/27/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,4228v1xB hi6b
1322v102xA,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/7/18,1322v102xA hi6b
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi6b
42s102xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s102xA hi6b
4228v102xA,5/27/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v102xA hi6b
42s10xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,42s10xA hi6b
42s102xB,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s102xB hi6b
4242v1xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xA hi6b
42s103xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s103xA hi6b
1328v1xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v1xA hi6b
4228v1xA,5/27/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v1xA hi6b
42s10xB,5/25/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,42s10xB hi6b
4228v10xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v10xA hi6b
4222v10xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v10xA hi6b
42s10xC,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s10xC hi6b
4222v103xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v103xB hi6b
13s102xA,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,13s102xA hi6b
13s10xB,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xB hi6b
1328v103xCb,5/27/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v103xCb hi6b
13s102xB,5/25/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,13s102xB hi6b
13s10xA,5/25/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xA hi6b
1322v1xA,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v1xA hi6b
13s103xA,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xA hi6b
blank,5/25/18,5/31/18,5/30/18,6/1/18,6/5/18,6/8/18,blank hi6b