unique.ID,T1.start,T1.end,T2.start,T2.end,T3.start,T3.end,T4.start,T4.end
Lo3a 13s103xC,9/19/19,9/29/19,9/30/19,10/3/19,10/5/19,10/15/19,10/18/19,10/23/19
Lo3a 42s103xF1xA,NA,NA,10/1/19,10/9/19,10/8/19,10/13/19,10/19/19,10/24/19
Lo3a 4242v102xB1xD,NA,NA,9/30/19,10/3/19,10/6/19,10/13/19,10/12/19,10/23/19
Lo3a 13s1xF,NA,NA,9/30/19,10/7/19,10/5/19,10/7/19,10/17/19,10/20/19
Lo3a 4242v102xB,NA,NA,10/1/19,10/3/19,10/6/19,10/14/19,10/18/19,10/20/19
Lo3a 42s103xF102x,NA,NA,NA,NA,10/5/19,10/8/19,10/20/19,10/23/19
Lo3a 13s103xCE,NA,NA,9/30/19,10/7/19,10/6/19,10/11/19,10/16/19,10/19/19
Lo3a 42s103xF,NA,NA,9/27/19,10/1/19,10/7/19,10/9/19,NA,NA
Lo3a 1328v1xA,NA,NA,9/27/19,10/2/19,10/4/19,10/6/19,10/18/19,10/19/19
Lo3a 13s1xE(sus),NA,NA,9/27/19,10/3/19,10/3/19,10/6/19,10/17/19,10/19/19
Lo3a 42s103xF1xB,NA,NA,9/30/19,10/2/19,10/6/19,10/12/19,NA,NA
Lo3a 4228v103xA1xC,NA,NA,NA,NA,10/8/19,10/12/19,10/18/19,10/25/19
Lo3a 42s103xF10xD,NA,NA,NA,NA,10/8/19,10/12/19,10/17/19,10/19/19
Lo3a 42s103xF10xE,NA,NA,9/30/19,10/5/19,10/7/19,10/13/19,10/17/19,10/20/19
Lo3a 4222v103xF,NA,NA,9/27/19,10/4/19,10/6/19,10/15/19,10/18/19,10/23/19
Lo3a FL42,NA,NA,9/26/19,10/4/19,10/6/19,10/12/19,10/18/19,10/22/19
Lo3a 4242v102xB1xC,NA,NA,9/30/19,10/4/19,10/9/19,10/16/19,10/18/19,10/19/19
Lo3a 4242v102xB1xE,NA,NA,NA,NA,10/8/19,10/15/19,10/21/19,10/23/19
Lo3a 42s103xE,NA,NA,10/1/19,10/6/19,10/8/19,10/14/19,NA,NA
Lo3a 4222v103xF1xD,NA,NA,NA,NA,10/7/19,10/9/19,10/18/19,10/19/19
Lo3a 42s103xE(sus),NA,NA,9/27/19,10/2/19,10/11/19,10/14/19,10/21/19,10/23/19
Lo3a 1322v103xDC,NA,NA,9/27/19,10/5/19,10/8/19,10/10/19,10/20/19,10/22/19
Lo3a blank,9/18/19,9/30/19,9/25/19,10/9/19,10/3/19,10/16/19,10/16/19,10/26/19
Lo1b 1322v103xDA,NA,NA,9/30/19,10/5/19,10/7/19,10/10/19,10/19/19,10/23/19
Lo1b 4242v102xB1xA,NA,NA,NA,NA,10/7/19,10/16/19,10/17/19,10/24/19
Lo1b 4222v103xF10xC,NA,NA,10/4/19,10/6/19,10/4/19,10/10/19,10/18/19,10/24/19
Lo1b 4242v102xB1xB,NA,NA,9/29/19,10/1/19,10/7/19,10/11/19,10/21/19,10/23/19
Lo1b 1328v103xC,NA,NA,9/30/19,10/6/19,10/8/19,10/14/19,10/17/19,10/23/19
Lo1b 4222v103xF1xA,NA,NA,NA,NA,10/7/19,10/16/19,10/21/19,10/23/19
Lo1b 42s103xF10xA,NA,NA,10/4/19,10/7/19,10/8/19,10/14/19,10/21/19,10/23/19
Lo1b 42s103xF,NA,NA,9/27/19,10/2/19,10/5/19,10/14/19,10/21/19,10/24/19
Lo1b 42s103xF10xB,NA,NA,9/28/19,10/1/19,10/6/19,10/12/19,10/19/19,10/23/19
Lo1b 1328v1xF,NA,NA,9/27/19,10/2/19,10/4/19,10/12/19,10/18/19,10/19/19
Lo1b 1328v1xA103xA,NA,NA,9/27/19,9/30/19,10/5/19,10/11/19,10/21/19,10/25/19
Lo1b 42s1xB(sus),NA,NA,9/30/19,10/2/19,10/4/19,10/10/19,10/17/19,10/23/19
Lo1b 1322v10xA,NA,NA,9/29/19,10/2/19,10/4/19,10/6/19,10/18/19,10/19/19
Lo1b 1328v1xA103xC,NA,NA,9/27/19,9/30/19,10/4/19,10/6/19,10/17/19,10/20/19
Lo1b 1322v103xE,NA,NA,9/29/19,10/2/19,10/4/19,10/7/19,10/19/19,10/24/19
Lo1b 13s103xCD,NA,NA,10/4/19,10/7/19,10/4/19,10/14/19,10/17/19,10/20/19
Lo1b 4228v103xA1xA,9/20/19,9/27/19,NA,NA,NA,NA,10/21/19,10/22/19
Lo1b 13s103xCB,NA,NA,9/27/19,9/30/19,10/5/19,10/13/19,10/17/19,10/20/19
Lo1b 13s103xCC,NA,NA,9/30/19,10/6/19,10/7/19,10/11/19,10/17/19,10/19/19
Lo1b 4222v10xD,NA,NA,9/27/19,9/30/19,10/4/19,10/7/19,10/17/19,10/19/19
Lo1b 4242v1xD,NA,NA,9/28/19,10/1/19,10/5/19,10/9/19,10/17/19,10/20/19
Lo1b blank,9/18/19,9/30/19,9/25/19,10/9/19,10/3/19,10/16/19,10/16/19,10/26/19
Lo3b 13s103xC,NA,NA,10/2/19,10/7/19,10/7/19,10/14/19,10/17/19,10/24/19
Lo3b 42s103xF1xA,NA,NA,9/29/19,10/3/19,10/7/19,10/12/19,10/21/19,10/23/19
Lo3b 4242v102xB1xD,NA,NA,9/27/19,10/2/19,10/7/19,10/12/19,10/18/19,10/19/19
Lo3b 13s1xF,NA,NA,10/1/19,10/8/19,10/6/19,10/14/19,10/17/19,10/19/19
Lo3b 4242v102xB,NA,NA,NA,NA,10/4/19,10/6/19,10/18/19,10/19/19
Lo3b 42s103xF102x,NA,NA,NA,NA,10/6/19,10/11/19,10/18/19,10/22/19
Lo3b 13s103xCE,NA,NA,10/4/19,10/7/19,10/7/19,10/15/19,10/21/19,10/25/19
Lo3b 42s103xF,NA,NA,10/3/19,10/7/19,NA,NA,NA,NA
Lo3b 1328v1xA,NA,NA,10/6/19,10/9/19,10/4/19,10/9/19,10/17/19,10/20/19
Lo3b 13s1xE(sus),NA,NA,9/30/19,10/7/19,10/6/19,10/14/19,10/17/19,10/23/19
Lo3b 42s103xF1xB,NA,NA,9/30/19,10/7/19,10/7/19,10/12/19,10/21/19,10/23/19
Lo3b 4228v103xA1xC,NA,NA,NA,NA,10/11/19,10/15/19,10/21/19,10/23/19
Lo3b 42s103xF10xD,NA,NA,NA,NA,10/8/19,10/12/19,10/17/19,10/23/19
Lo3b 42s103xF10xE,NA,NA,NA,NA,10/9/19,10/12/19,10/22/19,10/24/19
Lo3b 4222v103xF,NA,NA,9/29/19,10/2/19,10/6/19,10/9/19,10/17/19,10/19/19
Lo3b FL42,NA,NA,10/3/19,10/5/19,10/6/19,10/15/19,10/21/19,10/24/19
Lo3b 4242v102xB1xC,NA,NA,9/30/19,10/2/19,10/6/19,10/12/19,10/17/19,10/24/19
Lo3b 4242v102xB1xE,NA,NA,NA,NA,10/7/19,10/12/19,10/20/19,10/23/19
Lo3b 42s103xE,NA,NA,9/29/19,10/6/19,10/10/19,10/14/19,10/18/19,10/26/19
Lo3b 4222v103xF1xD,NA,NA,NA,NA,10/6/19,10/9/19,10/17/19,10/21/19
Lo3b 42s103xE(sus),NA,NA,9/29/19,10/2/19,NA,NA,10/22/19,10/25/19
Lo3b 1322v103xDC,NA,NA,NA,NA,10/4/19,10/12/19,10/22/19,10/25/19
Lo3b blank,9/18/19,9/30/19,9/25/19,10/9/19,10/3/19,10/16/19,10/16/19,10/26/19
Lo2b FL13,NA,NA,10/1/19,10/7/19,10/8/19,10/12/19,10/17/19,10/25/19
Lo2b 13s1xF(sus),NA,NA,9/30/19,10/7/19,10/4/19,10/15/19,10/17/19,10/25/19
Lo2b 1328v1xA103xB,NA,NA,NA,NA,10/6/19,10/12/19,10/17/19,10/25/19
Lo2b 131xC(sus),NA,NA,9/30/19,10/7/19,10/5/19,10/14/19,10/17/19,10/25/19
Lo2b 4228v10xE,NA,NA,NA,NA,10/6/19,10/11/19,10/17/19,10/23/19
Lo2b 13s103xCA,NA,NA,10/1/19,10/7/19,10/5/19,10/14/19,10/18/19,10/22/19
Lo2b 13s1xE,NA,NA,10/1/19,10/7/19,10/5/19,10/14/19,10/17/19,10/25/19
Lo2b 42s1xB,NA,NA,9/29/19,10/6/19,10/8/19,10/14/19,10/18/19,10/23/19
Lo2b 42s102xF,NA,NA,9/28/19,10/6/19,10/6/19,10/14/19,NA,NA
Lo2b 4228v103xA1xB,NA,NA,NA,NA,10/8/19,10/14/19,10/19/19,10/23/19
Lo2b 4222v103xF1xB,NA,NA,9/30/19,10/3/19,10/6/19,10/10/19,10/18/19,10/25/19
Lo2b 4222v103xF1xC,9/20/19,9/29/19,NA,NA,10/6/19,10/13/19,NA,NA
Lo2b 42s103xF10xC,NA,NA,9/30/19,10/3/19,10/7/19,10/10/19,10/17/19,10/24/19
Lo2b 13s103xCF,NA,NA,10/4/19,10/7/19,10/6/19,10/13/19,10/17/19,10/24/19
Lo2b 4222v103xF10xB,NA,NA,10/1/19,10/3/19,10/7/19,10/10/19,10/19/19,10/22/19
Lo2b 13s1xC,NA,NA,10/5/19,10/7/19,10/5/19,10/13/19,10/7/19,10/22/19
Lo2b 1322v103xF,NA,NA,NA,NA,10/5/19,10/11/19,10/19/19,10/23/19
Lo2b 1322v103xDB,NA,NA,NA,NA,10/9/19,10/15/19,10/21/19,10/24/19
Lo2b 42s102xF(sus),NA,NA,10/1/19,10/3/19,10/10/19,10/14/19,10/21/19,10/26/19
Lo2b 4222v103xF10xA,NA,NA,NA,NA,10/7/19,10/12/19,10/22/19,10/24/19
Lo2b 4228v10xA,NA,NA,10/2/19,10/5/19,10/8/19,10/13/19,10/21/19,10/23/19
Lo2b blank,9/18/19,9/30/19,9/25/19,10/9/19,10/3/19,10/16/19,10/16/19,10/26/19
Lo2a FL13,NA,NA,10/1/19,10/7/19,10/7/19,10/12/19,10/18/19,10/24/19
Lo2a 13s1xF(sus),NA,NA,10/4/19,10/8/19,10/7/19,10/14/19,10/19/19,10/24/19
Lo2a 1328v1xA103xB,NA,NA,NA,NA,10/9/19,10/14/19,10/19/19,10/24/19
Lo2a 131xC(sus),NA,NA,10/1/19,10/9/19,10/4/19,10/16/19,10/18/19,10/25/19
Lo2a 4228v10xE,NA,NA,9/29/19,10/2/19,10/5/19,10/12/19,10/21/19,10/23/19
Lo2a 13s103xCA,NA,NA,10/1/19,10/8/19,10/8/19,10/15/19,10/17/19,10/25/19
Lo2a 13s1xE,NA,NA,NA,NA,10/5/19,10/12/19,10/17/19,10/24/19
Lo2a 42s1xB,NA,NA,10/1/19,10/7/19,10/11/19,10/14/19,10/22/19,10/26/19
Lo2a 42s102xF,NA,NA,10/1/19,10/6/19,10/11/19,10/14/19,10/21/19,10/25/19
Lo2a 4228v103xA1xB,NA,NA,NA,NA,10/11/19,10/14/19,10/19/19,10/26/19
Lo2a 4222v103xF1xB,NA,NA,10/4/19,10/7/19,10/6/19,10/12/19,10/18/19,10/22/19
Lo2a 4222v103xF1xC,NA,NA,NA,NA,10/8/19,10/13/19,10/21/19,10/26/19
Lo2a 42s103xF10xC,NA,NA,NA,NA,10/7/19,10/13/19,10/18/19,10/23/19
Lo2a 13s103xCF,NA,NA,10/4/19,10/8/19,10/6/19,10/12/19,10/18/19,10/25/19
Lo2a 4222v103xF10xB,NA,NA,NA,NA,10/8/19,10/13/19,10/21/19,10/23/19
Lo2a 13s1xC,NA,NA,10/4/19,10/7/19,10/6/19,10/12/19,10/16/19,10/20/19
Lo2a 1322v103xF,NA,NA,NA,NA,10/6/19,10/12/19,10/18/19,10/20/19
Lo2a 1322v103xDB,NA,NA,NA,NA,10/8/19,10/12/19,10/19/19,10/21/19
Lo2a 42s102xF(sus),NA,NA,9/28/19,10/2/19,10/7/19,10/13/19,10/21/19,10/25/19
Lo2a 4222v103xF10xA,NA,NA,NA,NA,10/11/19,10/13/19,10/21/19,10/26/19
Lo2a 4228v10xA,NA,NA,NA,NA,10/8/19,10/14/19,10/20/19,10/25/19
Lo2a blank,9/18/19,9/30/19,9/25/19,10/9/19,10/3/19,10/16/19,10/16/19,10/26/19
Lo1a 1322v103xDA,NA,NA,10/3/19,10/6/19,10/8/19,10/12/19,10/21/19,10/25/19
Lo1a 4242v102xB1xA,NA,NA,NA,NA,10/10/19,10/13/19,10/21/19,10/24/19
Lo1a 4222v103xF10xC,NA,NA,NA,NA,10/9/19,10/12/19,10/21/19,10/24/19
Lo1a 4242v102xB1xB,NA,NA,NA,NA,10/11/19,10/14/19,10/21/19,10/24/19
Lo1a 1328v103xC,NA,NA,NA,NA,10/8/19,10/11/19,10/17/19,10/23/19
Lo1a 4222v103xF1xA,NA,NA,NA,NA,10/10/19,10/11/19,10/21/19,10/22/19
Lo1a 42s103xF10xA,NA,NA,NA,NA,10/8/19,10/12/19,10/20/19,10/24/19
Lo1a 42s103xF,NA,NA,9/27/19,10/6/19,10/11/19,10/15/19,10/21/19,10/24/19
Lo1a 42s103xF10xB,9/20/19,9/27/19,NA,NA,10/9/19,10/15/19,NA,NA
Lo1a 1328v1xF,NA,NA,9/27/19,10/6/19,10/6/19,10/11/19,10/16/19,10/20/19
Lo1a 1328v1xA103xA,NA,NA,NA,NA,10/11/19,10/14/19,10/22/19,10/25/19
Lo1a 42s1xB(sus),NA,NA,NA,NA,10/6/19,10/10/19,10/22/19,10/26/19
Lo1a 1322v10xA,NA,NA,NA,NA,10/6/19,10/14/19,10/17/19,10/25/19
Lo1a 1328v1xA103xC,NA,NA,10/4/19,10/7/19,10/5/19,10/8/19,10/18/19,10/24/19
Lo1a 1322v103xE,NA,NA,9/27/19,10/9/19,10/4/19,10/13/19,10/17/19,10/22/19
Lo1a 13s103xCD,NA,NA,10/3/19,10/9/19,10/4/19,10/14/19,10/21/19,10/24/19
Lo1a 4228v103xA1xA,9/27/19,9/29/19,NA,NA,NA,NA,10/18/19,10/24/19
Lo1a 13s103xCB,NA,NA,10/5/19,10/9/19,10/4/19,10/10/19,10/21/19,10/26/19
Lo1a 13s103xCC,NA,NA,10/1/19,10/6/19,10/5/19,10/11/19,10/21/19,10/24/19
Lo1a 4222v10xD,NA,NA,10/3/19,10/5/19,10/6/19,10/12/19,10/18/19,10/21/19
Lo1a 4242v1xD,NA,NA,NA,NA,10/5/19,10/12/19,10/21/19,10/23/19
Lo1a blank,9/18/19,9/30/19,9/25/19,10/9/19,10/3/19,10/16/19,10/16/19,10/26/19